0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:34:41 +0530] "GET /ElectroApp/img/product-banner-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:35:38 +0530] "GET /ElectroApp/bestseller.jsp HTTP/1.1" 200 155543
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:35:41 +0530] "GET /ElectroApp/cart.jsp HTTP/1.1" 200 32445
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:39:15 +0530] "GET /ElectroApp/index.jsp HTTP/1.1" 200 158843
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:39:15 +0530] "GET /ElectroApp/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:39:15 +0530] "GET /ElectroApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:39:15 +0530] "GET /ElectroApp/img/carousel-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:39:15 +0530] "GET /ElectroApp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:39:15 +0530] "GET /ElectroApp/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:39:15 +0530] "GET /ElectroApp/img/carousel-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2025:20:39:15 +0530] "GET /ElectroApp/img/header-img.jpg HTTP/1.1" 304 -
